wavelength (um), k (water @ 22C), k (ice @ -25C)
1.8051, 1.33e-4, 1.30e-4
1.7986, 1.31e-4, 1.31e-4
1.7921, 1.31e-4, 1.33e-4
1.7857, 1.30e-4, 1.35e-4
1.7794, 1.27e-4, 1.37e-4
1.7731, 1.23e-4, 1.38e-4
1.7668, 1.18e-4, 1.39e-4
1.7606, 1.11e-4, 1.40e-4
1.7544, 1.06e-4, 1.42e-4
1.7483, 1.01e-4, 1.45e-4
1.7422, 9.59e-5, 1.48e-4
1.7361, 9.19e-5, 1.49e-4
1.7301, 8.87e-5, 1.52e-4
1.7241, 8.61e-5, 1.54e-4
1.7182, 8.39e-5, 1.59e-4
1.7123, 8.19e-5, 1.63e-4
1.7065, 8.04e-5, 1.67e-4
1.7007, 7.97e-5, 1.72e-4
1.6949, 7.89e-5, 1.78e-4
1.6893, 7.84e-5, 1.82e-4
1.6835, 7.82e-5, 1.87e-4
1.6779, 7.79e-5, 1.92e-4
1.6722, 7.82e-5, 1.97e-4
1.6667, 7.85e-5, 2.05e-4
1.6611, 7.91e-5, 2.11e-4
1.6556, 7.97e-5, 2.16e-4
1.6502, 8.09e-5, 2.23e-4
1.6447, 8.20e-5, 2.29e-4
1.6393, 8.29e-5, 2.35e-4
1.6340, 8.44e-5, 2.40e-4
1.6287, 8.63e-5, 2.44e-4
1.6234, 8.79e-5, 2.47e-4
1.6181, 9.00e-5, 2.49e-4
1.6129, 9.23e-5, 2.53e-4
1.6077, 9.44e-5, 2.59e-4
1.6026, 9.70e-5, 2.66e-4
1.5974, 1.00e-4, 2.74e-4
1.5924, 1.03e-4, 2.84e-4
1.5873, 1.07e-4, 2.97e-4
1.5823, 1.11e-4, 3.11e-4
1.5773, 1.15e-4, 3.24e-4
1.5723, 1.19e-4, 3.42e-4
1.5674, 1.24e-4, 3.58e-4
1.5625, 1.30e-4, 3.75e-4
1.5576, 1.36e-4, 3.92e-4
1.5528, 1.44e-4, 4.08e-4
1.5480, 1.50e-4, 4.25e-4
1.5432, 1.57e-4, 4.37e-4
1.5385, 1.69e-4, 4.51e-4
1.5337, 1.78e-4, 4.62e-4
1.5291, 1.87e-4, 4.75e-4
1.5244, 1.95e-4, 4.87e-4
1.5198, 2.06e-4, 4.98e-4
1.5152, 2.18e-4, 5.09e-4
1.5106, 2.31e-4, 5.17e-4
1.5060, 2.45e-4, 5.27e-4
1.5015, 2.58e-4, 5.33e-4
1.4970, 2.73e-4, 5.38e-4
1.4925, 2.86e-4, 5.34e-4
1.4881, 3.05e-4, 5.27e-4
1.4837, 3.18e-4, 5.03e-4
1.4793, 3.32e-4, 4.71e-4
1.4749, 3.48e-4, 4.33e-4
1.4706, 3.58e-4, 3.86e-4
1.4663, 3.68e-4, 3.42e-4
1.4620, 3.77e-4, 2.99e-4
1.4577, 3.79e-4, 2.58e-4
1.4535, 3.79e-4, 2.20e-4
1.4493, 3.77e-4, 1.89e-4
1.4451, 3.74e-4, 1.60e-4
1.4409, 3.69e-4, -999
1.4368, 3.66e-4, -999
1.4327, 3.54e-4, -999
1.4286, 3.44e-4, -999
1.4245, 3.30e-4, -999
1.4205, 3.13e-4, -999
1.4164, 2.97e-4, -999
1.4124, 2.77e-4, -999
1.4085, 2.50e-4, -999
1.4045, 2.20e-4, -999
1.4006, 1.89e-4, -999
1.3966, 1.55e-4, -999


























