#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-12-03T22:07:39 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5fc9612912c2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=10	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/611/A1/spectrum
#-nav=cat:J/A+A/611/A1&tab:{J/A+A/611/A1/spectrum}&key:source=J/A+A/611/A1&HTTPPRM:&&-ref=VIZ5fc9612912c2&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=lambda&lambda=1390 .. 1810&-out=SSI&-out=e_SSI&-file=-sort&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/611/A1/spectrum
#-source=J/A+A/611/A1/spectrum
#-out=lambda
#lambda=1390 .. 1810
#-out=SSI
#-out=e_SSI
#

#RESOURCE=yCat_36110001
#Name: J/A+A/611/A1
#Title: SOLAR/SOLSPEC Spectral Irradiance - 0.5-3000nm (Meftah+, 2018)
#Table	J_A_A_611_A1_spectrum:
#Name: J/A+A/611/A1/spectrum
#Title: *SOLAR-ISS spectrum, Version: 1.1, Date: 18-October-2017
#Column	lambda	(F13.8)	Wavelength	[ucd=em.wl]
#Column	SSI	(F11.8)	? Solar spectral irradiance	[ucd=spect.index]
#Column	e_SSI	(F11.8)	? Uncertainty on SSI (k=1)	[ucd=stat.error]
lambda	SSI	e_SSI
nm	W/m2/nm	%
-------------	-----------	-----------
1390.00000000	 0.35417260	 0.49999033
1390.05000000	 0.35402107	 0.50005701
1390.10000000	 0.35413954	 0.50012368
1390.15000000	 0.35425801	 0.50019036
1390.20000000	 0.35437648	 0.50025703
1390.25000000	 0.35454421	 0.50032371
1390.30000000	 0.35493635	 0.50039038
1390.35000000	 0.35532850	 0.50045705
1390.40000000	 0.35572065	 0.50052373
1390.45000000	 0.35609943	 0.50059040
1390.50000000	 0.35644978	 0.50065708
1390.55000000	 0.35680014	 0.50072375
1390.60000000	 0.35715049	 0.50079043
1390.65000000	 0.35750933	 0.50085710
1390.70000000	 0.35787812	 0.50092377
1390.75000000	 0.35824692	 0.50099045
1390.80000000	 0.35861571	 0.50105712
1390.85000000	 0.35883050	 0.50112380
1390.90000000	 0.35893375	 0.50119047
1390.95000000	 0.35903701	 0.50125715
1391.00000000	 0.35914027	 0.50132382
1391.05000000	 0.35917600	 0.50139049
1391.10000000	 0.35918546	 0.50145717
1391.15000000	 0.35919493	 0.50152384
1391.20000000	 0.35920439	 0.50159052
1391.25000000	 0.35921390	 0.50165719
1391.30000000	 0.35922343	 0.50172387
1391.35000000	 0.35923295	 0.50179054
1391.40000000	 0.35924247	 0.50185721
1391.45000000	 0.35922140	 0.50192389
1391.50000000	 0.35919969	 0.50199056
1391.55000000	 0.35917799	 0.50205724
1391.60000000	 0.35915332	 0.50212391
1391.65000000	 0.35910198	 0.50219059
1391.70000000	 0.35905063	 0.50225726
1391.75000000	 0.35899928	 0.50232393
1391.80000000	 0.35892947	 0.50239061
1391.85000000	 0.35880117	 0.50245728
1391.90000000	 0.35867287	 0.50252396
1391.95000000	 0.35854457	 0.50259063
1392.00000000	 0.35839535	 0.50265731
1392.05000000	 0.35820862	 0.50272398
1392.10000000	 0.35802189	 0.50279065
1392.15000000	 0.35783517	 0.50285733
1392.20000000	 0.35765518	 0.50292400
1392.25000000	 0.35748249	 0.50299068
1392.30000000	 0.35730980	 0.50305735
1392.35000000	 0.35713711	 0.50312403
1392.40000000	 0.35700851	 0.50319070
1392.45000000	 0.35690929	 0.50325737
1392.50000000	 0.35681008	 0.50332405
1392.55000000	 0.35671087	 0.50339072
1392.60000000	 0.35664360	 0.50345740
1392.65000000	 0.35658875	 0.50352407
1392.70000000	 0.35653391	 0.50359075
1392.75000000	 0.35647906	 0.50365742
1392.80000000	 0.35648683	 0.50372409
1392.85000000	 0.35650670	 0.50379077
1392.90000000	 0.35652657	 0.50385744
1392.95000000	 0.35654645	 0.50392412
1393.00000000	 0.35658819	 0.50399079
1393.05000000	 0.35663085	 0.50405747
1393.10000000	 0.35667351	 0.50412414
1393.15000000	 0.35671242	 0.50419081
1393.20000000	 0.35670821	 0.50425749
1393.25000000	 0.35670401	 0.50442716
1393.30000000	 0.35669980	 0.50471390
1393.35000000	 0.35667149	 0.50500064
1393.40000000	 0.35654677	 0.50528738
1393.45000000	 0.35642204	 0.50557413
1393.50000000	 0.35629732	 0.50586087
1393.55000000	 0.35614476	 0.50614761
1393.60000000	 0.35593248	 0.50643436
1393.65000000	 0.35572020	 0.50672110
1393.70000000	 0.35550792	 0.50700784
1393.75000000	 0.35528410	 0.50729459
1393.80000000	 0.35504560	 0.50758133
1393.85000000	 0.35480710	 0.50786807
1393.90000000	 0.35456859	 0.50815481
1393.95000000	 0.35437504	 0.50844156
1394.00000000	 0.35421680	 0.50872830
1394.05000000	 0.35405857	 0.50901504
1394.10000000	 0.35390033	 0.50930179
1394.15000000	 0.35385966	 0.50958853
1394.20000000	 0.35387902	 0.50987527
1394.25000000	 0.35389837	 0.51016202
1394.30000000	 0.35391772	 0.51044876
1394.35000000	 0.35401719	 0.51073550
1394.40000000	 0.35413925	 0.51102224
1394.45000000	 0.35426131	 0.51130899
1394.50000000	 0.35438337	 0.51159573
1394.55000000	 0.35438519	 0.51188247
1394.60000000	 0.35437061	 0.51216922
1394.65000000	 0.35435603	 0.51245596
1394.70000000	 0.35434145	 0.51274270
1394.75000000	 0.35427704	 0.51302945
1394.80000000	 0.35421264	 0.51331619
1394.85000000	 0.35414823	 0.51360293
1394.90000000	 0.35407293	 0.51388967
1394.95000000	 0.35389955	 0.51417642
1395.00000000	 0.35372617	 0.51446316
1395.05000000	 0.35355280	 0.51474990
1395.10000000	 0.35337969	 0.51503665
