Solar irradiance (Kurucz, R.L. 2005)   revised 02jan2010
High resolution irradiance spectrum from 300 to 1000 nm.
Thuillier et al (2004) calibration
Kurucz.harvard.edu/sun/irradiance2005/irradthuwn.br_5nm
0.5 nm FWHM Gaussian broadening
300 by 0.25 to 1000 nm
 
    nm    W/m**2/nm
    2801   2.2133  max
  300.000  0.0774
  300.250  0.2430
  300.500  0.4247
  300.750  0.4846
  301.000  0.5075
  301.250  0.5720
  301.500  0.5870
  301.750  0.5044
  302.000  0.3845
  302.250  0.4132
  302.500  0.5285
  302.750  0.6111
  303.000  0.6670
  303.250  0.6916
  303.500  0.7125
  303.750  0.6255
  304.000  0.5660
  304.250  0.5863
  304.500  0.6396
  304.750  0.6139
  305.000  0.6216
  305.250  0.6964
  305.500  0.6443
  305.750  0.5139
  306.000  0.4888
  306.250  0.5896
  306.500  0.5825
  306.750  0.5455
  307.000  0.6121
  307.250  0.6621
  307.500  0.6492
  307.750  0.6490
  308.000  0.6619
  308.250  0.6429
  308.500  0.6769
  308.750  0.6778
  309.000  0.5886
  309.250  0.5025
  309.500  0.4980
  309.750  0.5070
  310.000  0.4542
  310.250  0.4909
  310.500  0.6622
  310.750  0.7851
  311.000  0.8211
  311.250  0.8097
  311.500  0.7854
  311.750  0.7049
  312.000  0.6256
  312.250  0.6379
  312.500  0.6797
  312.750  0.6873
  313.000  0.6952
  313.250  0.6779
  313.500  0.6828
  313.750  0.7448
  314.000  0.7909
  314.250  0.7035
  314.500  0.5614
  314.750  0.6022
  315.000  0.7083
  315.250  0.7346
  315.500  0.6927
  315.750  0.5696
  316.000  0.4787
  316.250  0.5296
  316.500  0.6246
  316.750  0.6799
  317.000  0.7549
  317.250  0.8481
  317.500  0.8590
  317.750  0.7873
  318.000  0.6322
  318.250  0.5598
  318.500  0.6227
  318.750  0.7185
  319.000  0.7621
  319.250  0.6741
  319.500  0.6502
  319.750  0.7416
  320.000  0.8214
  320.250  0.8609
  320.500  0.9095
  320.750  0.8917
  321.000  0.7647
  321.250  0.6463
  321.500  0.6503
  321.750  0.7467
